year,method,u,n_mentees,n_mentor_pool,top20_cutoff_rank,k_top20_pool,pct_top20_pool,top20_pool_lo,top20_pool_hi,k_rank1,pct_rank1,rank1_lo,rank1_hi,pct_top20_repo,top20_repo_lo,top20_repo_hi,mean_pool_percentile,median_rank
2023,Cosine Similarity,0.9,197,206,41,182,92.38578680203045,87.75246751219967,95.67590704513735,58,29.441624365482234,23.17695926537776,36.33687360889793,88.3248730964467,82.99797892795286,92.45320813141721,5.927943543394825,4
2023,Matching Words,0.9,197,206,41,186,94.41624365482234,90.228911978401,97.17998125464383,52,26.395939086294415,20.385252813136816,33.131797149425005,89.84771573604061,84.75655296995369,93.68767187877586,5.71994552432834,4
2024,Cosine Similarity,0.9,287,287,57,267,93.03135888501743,89.44247505331263,95.69170799498382,88,30.662020905923345,25.377669268399615,36.35092690770008,93.03135888501743,89.44247505331263,95.69170799498382,6.283959942496528,4
2024,Matching Words,0.9,287,287,57,261,90.94076655052265,87.00806179726422,93.996711275629,84,29.26829268292683,24.06852055702576,34.902006922608386,90.94076655052265,87.00806179726422,93.996711275629,6.621427353134671,4
2025,Cosine Similarity,0.9,107,124,24,104,97.19626168224299,92.02453441675968,99.41802712084932,48,44.85981308411215,35.23244979770251,54.77896706119246,84.11214953271028,75.78504660071715,90.46364484894976,3.122863004330978,2
2025,Matching Words,0.9,107,124,24,105,98.13084112149532,93.41081030075674,99.77282916295849,44,41.12149532710281,31.69842333956237,51.0488794012697,84.11214953271028,75.78504660071715,90.46364484894976,2.8873185928120964,3
2023,Cosine Similarity,1,197,206,41,182,92.38578680203045,87.75246751219967,95.67590704513735,63,31.97969543147208,25.52949381511142,38.982033786061464,87.81725888324873,82.41714753756261,92.03606646388204,5.950229045437663,4
2023,Matching Words,1,197,206,41,188,95.43147208121827,91.5049184375997,97.8899917707641,55,27.918781725888326,21.776651528457304,34.73872003565679,89.34010152284264,84.16752498019905,93.27918406615676,4.9473814535099665,4
2024,Cosine Similarity,1,287,287,57,267,93.03135888501743,89.44247505331263,95.69170799498382,86,29.965156794425088,24.722368163721175,35.6271867567329,93.03135888501743,89.44247505331263,95.69170799498382,6.427718622840574,4
2024,Matching Words,1,287,287,57,261,90.94076655052265,87.00806179726422,93.996711275629,83,28.9198606271777,23.742151174101313,34.53886806511191,90.94076655052265,87.00806179726422,93.996711275629,6.621427353134671,4
2025,Cosine Similarity,1,107,124,24,104,97.19626168224299,92.02453441675968,99.41802712084932,46,42.99065420560748,33.45874905302376,52.92056086932643,85.04672897196262,76.85545947182558,91.20453349773113,3.1380594179773578,2
2025,Matching Words,1,107,124,24,106,99.06542056074767,94.9027457430558,99.97634129632374,44,41.12149532710281,31.69842333956237,51.0488794012697,80.37383177570094,71.57763004138495,87.42126696745967,2.6289795608236455,3
2023,Cosine Similarity,1.1,197,206,41,184,93.4010152284264,88.97988091882107,96.43982119363221,63,31.97969543147208,25.52949381511142,38.982033786061464,89.34010152284264,84.16752498019905,93.27918406615676,5.435186331558747,4
2023,Matching Words,1.1,197,206,41,188,95.43147208121827,91.5049184375997,97.8899917707641,55,27.918781725888326,21.776651528457304,34.73872003565679,86.29441624365482,80.68885072796787,90.76975027404558,4.969666955552804,4
2024,Cosine Similarity,1.1,287,287,57,267,93.03135888501743,89.44247505331263,95.69170799498382,85,29.61672473867596,24.395260833321842,35.264778581089004,93.03135888501743,89.44247505331263,95.69170799498382,6.153602495065909,4
2024,Matching Words,1.1,287,287,57,263,91.63763066202091,87.81296688715499,94.56863839533504,82,28.571428571428573,23.416156657462988,34.175358163490586,91.63763066202091,87.81296688715499,94.56863839533504,6.589751711702931,4
2025,Cosine Similarity,1.1,107,124,24,103,96.26168224299066,90.70452894506056,98.9721999272242,47,43.925233644859816,34.343941172254475,53.851411555406024,85.04672897196262,76.85545947182558,91.20453349773113,3.039282729275891,2
2025,Matching Words,1.1,107,124,24,106,99.06542056074767,94.9027457430558,99.97634129632374,44,41.12149532710281,31.69842333956237,51.0488794012697,80.37383177570094,71.57763004138495,87.42126696745967,2.613783147177266,3
2023,Cosine Similarity,1.2,197,206,41,183,92.89340101522842,88.36373327662689,96.06052676895229,62,31.472081218274113,25.057180315265587,38.454785262258206,86.29441624365482,80.68885072796787,90.76975027404558,5.831373034542528,4
2023,Matching Words,1.2,197,206,41,186,94.41624365482234,90.228911978401,97.17998125464383,55,27.918781725888326,21.776651528457304,34.73872003565679,85.78680203045685,80.11711725581864,90.34308184376943,4.987000123808345,4
2024,Cosine Similarity,1.2,287,287,57,265,92.33449477351917,88.62418122053924,95.13392009602757,82,28.571428571428573,23.416156657462988,34.175358163490586,92.33449477351917,88.62418122053924,95.13392009602757,6.180404960892766,4
2024,Matching Words,1.2,287,287,57,262,91.28919860627178,87.40976790537361,94.28345924300069,81,28.222996515679444,23.090541118925,33.8114732387145,91.28919860627178,87.40976790537361,94.28345924300069,6.58731512390049,4
2025,Cosine Similarity,1.2,107,124,24,103,96.26168224299066,90.70452894506056,98.9721999272242,47,43.925233644859816,34.343941172254475,53.851411555406024,85.04672897196262,76.85545947182558,91.20453349773113,3.0316845224527014,2
2025,Matching Words,1.2,107,124,24,106,99.06542056074767,94.9027457430558,99.97634129632374,43,40.18691588785047,30.82335425936325,50.10799169110929,80.37383177570094,71.57763004138495,87.42126696745967,2.7961401109338198,3
2023,Cosine Similarity,1.3,197,206,41,184,93.4010152284264,88.97988091882107,96.43982119363221,64,32.48730964467005,26.002686762873505,39.50841331663766,88.3248730964467,82.99797892795286,92.45320813141721,5.5317568404110435,4
2023,Matching Words,1.3,197,206,41,184,93.4010152284264,88.97988091882107,96.43982119363221,54,27.411167512690355,21.311839541049736,34.20407491213142,87.81725888324873,82.41714753756261,92.03606646388204,5.4178531633032065,3
2024,Cosine Similarity,1.3,287,287,57,263,91.63763066202091,87.81296688715499,94.56863839533504,84,29.26829268292683,24.06852055702576,34.902006922608386,91.63763066202091,87.81296688715499,94.56863839533504,6.410662508223484,4
2024,Matching Words,1.3,287,287,57,263,91.63763066202091,87.81296688715499,94.56863839533504,82,28.571428571428573,23.416156657462988,34.175358163490586,91.63763066202091,87.81296688715499,94.56863839533504,6.488633317901611,4
2025,Cosine Similarity,1.3,107,124,24,102,95.32710280373831,89.43138802218044,98.46553894536866,45,42.05607476635514,32.576899707493766,51.98639231458104,85.04672897196262,76.85545947182558,91.20453349773113,3.2444343135020133,2
2025,Matching Words,1.3,107,124,24,106,99.06542056074767,94.9027457430558,99.97634129632374,43,40.18691588785047,30.82335425936325,50.10799169110929,80.37383177570094,71.57763004138495,87.42126696745967,2.78854190411063,3
2023,Cosine Similarity,1.4,197,206,41,184,93.4010152284264,88.97988091882107,96.43982119363221,65,32.994923857868024,26.476748226318314,40.03393428868033,88.83248730964468,83.58138869236814,92.86763514881402,5.4995666707936115,3
2023,Matching Words,1.4,197,206,41,186,94.41624365482234,90.228911978401,97.17998125464383,55,27.918781725888326,21.776651528457304,34.73872003565679,89.34010152284264,84.16752498019905,93.27918406615676,5.192521975981181,3
2024,Cosine Similarity,1.4,287,287,57,263,91.63763066202091,87.81296688715499,94.56863839533504,82,28.571428571428573,23.416156657462988,34.175358163490586,91.63763066202091,87.81296688715499,94.56863839533504,6.517872371530908,4
2024,Matching Words,1.4,287,287,57,262,91.28919860627178,87.40976790537361,94.28345924300069,83,28.9198606271777,23.742151174101313,34.53886806511191,91.28919860627178,87.40976790537361,94.28345924300069,6.484978436197948,4
2025,Cosine Similarity,1.4,107,124,24,103,96.26168224299066,90.70452894506056,98.9721999272242,46,42.99065420560748,33.45874905302376,52.92056086932643,85.04672897196262,76.85545947182558,91.20453349773113,3.198845072562875,2
2025,Matching Words,1.4,107,124,24,106,99.06542056074767,94.9027457430558,99.97634129632374,42,39.25233644859813,29.95173108022766,49.16369462554344,80.37383177570094,71.57763004138495,87.42126696745967,2.803738317757009,3
2023,Cosine Similarity,1.5,197,206,41,177,89.84771573604061,84.75655296995369,93.68767187877586,48,24.365482233502537,18.54476690429013,30.97477876657795,84.77157360406092,78.97963560407074,89.48351187235937,6.93326730221617,5
2023,Matching Words,1.5,197,206,41,178,90.35532994923858,85.34865774647949,94.09289258341671,30,15.228426395939087,10.516488127640622,21.02036439592927,82.74111675126903,76.7264865919427,87.74173536631082,7.4631670174569775,8
2024,Cosine Similarity,1.5,287,287,57,265,92.33449477351917,88.62418122053924,95.13392009602757,81,28.222996515679444,23.090541118925,33.8114732387145,92.33449477351917,88.62418122053924,95.13392009602757,6.419190565532029,4
2024,Matching Words,1.5,287,287,57,264,91.98606271777004,88.21774101804527,94.85215864964661,84,29.26829268292683,24.06852055702576,34.902006922608386,92.33449477351917,88.62418122053924,95.13392009602757,6.409444214322263,4
