method,u,n_mentees,pct_top20_pool,pct_rank1
Cosine Similarity,0.9,591,93.57021996615906,32.82571912013536
Cosine Similarity,1,591,93.57021996615906,32.994923857868024
Cosine Similarity,1.1,591,93.73942470389171,32.994923857868024
Cosine Similarity,1.2,591,93.23181049069375,32.31810490693739
Cosine Similarity,1.3,591,92.89340101522842,32.656514382402705
Cosine Similarity,1.4,591,93.06260575296108,32.656514382402705
Cosine Similarity,1.5,591,92.2165820642978,29.780033840947546
Cosine Similarity,1.6,591,93.4010152284264,33.16412859560068
Cosine Similarity,1.7,591,93.4010152284264,33.50253807106599
Cosine Similarity,1.8,591,93.06260575296108,33.333333333333336
Cosine Similarity,1.9,591,93.06260575296108,33.50253807106599
Cosine Similarity,2,591,93.06260575296108,33.333333333333336
Matching Words,0.9,591,93.4010152284264,30.456852791878173
Matching Words,1,591,93.90862944162437,30.795262267343485
Matching Words,1.1,591,94.24703891708968,30.62605752961083
Matching Words,1.2,591,93.73942470389171,30.287648054145517
Matching Words,1.3,591,93.57021996615906,30.287648054145517
Matching Words,1.4,591,93.73942470389171,30.456852791878173
Matching Words,1.5,591,92.72419627749576,26.395939086294415
Matching Words,1.6,591,93.90862944162437,30.62605752961083
Matching Words,1.7,591,93.4010152284264,30.795262267343485
Matching Words,1.8,591,93.4010152284264,30.795262267343485
Matching Words,1.9,591,93.4010152284264,30.795262267343485
Matching Words,2,591,93.4010152284264,30.795262267343485
