u,method_label,mentor_grade_group,n,n_assignments,n_top20,selection_rate,DI,year
1.5,Cosine Similarity,Grades 1-4,86,91,84,0.9244186046511628,0.9385867554568998,NA
1.5,Cosine Similarity,Grades 5+,408,458,393,0.8676470588235294,0.9385867554568998,NA
1.5,Matching Words,Grades 1-4,82,87,78,0.9024390243902439,0.9346300183678824,NA
1.5,Matching Words,Grades 5+,412,462,389,0.8434466019417476,0.9346300183678824,NA
1.5,Cosine Similarity,Grades 1-4,33,33,31,0.9393939393939394,NA,2023
1.5,Cosine Similarity,Grades 5+,140,140,121,0.8642857142857143,NA,2023
1.5,Matching Words,Grades 1-4,29,29,27,0.9310344827586207,NA,2023
1.5,Matching Words,Grades 5+,144,144,121,0.8402777777777778,NA,2023
1.5,Cosine Similarity,Grades 1-4,32,37,34,0.921875,NA,2024
1.5,Cosine Similarity,Grades 5+,189,239,206,0.8835978835978836,NA,2024
1.5,Matching Words,Grades 1-4,32,37,32,0.875,NA,2024
1.5,Matching Words,Grades 5+,189,239,203,0.8544973544973545,NA,2024
1.5,Cosine Similarity,Grades 1-4,21,21,19,0.9047619047619048,NA,2025
1.5,Cosine Similarity,Grades 5+,79,79,66,0.8354430379746836,NA,2025
1.5,Matching Words,Grades 1-4,21,21,19,0.9047619047619048,NA,2025
1.5,Matching Words,Grades 5+,79,79,65,0.8227848101265823,NA,2025
