year,grade_stratum,method,n,mean_percentile,median_percentile,pct_top20
2023,Grade 1,Cosine Similarity,48,9.63,4.27,83.3
2023,Grade 1,Matching Words,48,7.09,3.23,87.5
2023,Grade 2,Cosine Similarity,28,15.69,5.56,75
2023,Grade 2,Matching Words,28,20.74,10.48,64.3
2023,Grade 3,Cosine Similarity,22,6.41,2.99,95.5
2023,Grade 3,Matching Words,22,12.13,6.05,81.8
2023,Grade 4,Cosine Similarity,22,5.4,1.28,90.9
2023,Grade 4,Matching Words,22,11.69,7.26,77.3
2023,Grade 5,Cosine Similarity,24,18.23,2.14,70.8
2023,Grade 5,Matching Words,24,12.16,4.44,83.3
2023,Grade 6,Cosine Similarity,18,7.03,0.85,83.3
2023,Grade 6,Matching Words,18,8.02,4.03,94.4
2023,Grade 7,Cosine Similarity,10,11.62,1.28,90
2023,Grade 7,Matching Words,10,5.08,2.82,90
2023,Grade 9,Cosine Similarity,1,78.63,78.63,0
2023,Grade 9,Matching Words,1,14.52,14.52,100
2024,Grade 1,Cosine Similarity,69,6.66,2.26,91.3
2024,Grade 1,Matching Words,69,6.3,1.83,94.2
2024,Grade 2,Cosine Similarity,54,10.08,2.08,88.9
2024,Grade 2,Matching Words,54,9.9,3.3,83.3
2024,Grade 3,Cosine Similarity,43,11.89,2.26,86
2024,Grade 3,Matching Words,43,11.95,3.66,86
2024,Grade 4,Cosine Similarity,33,6.64,1.51,90.9
2024,Grade 4,Matching Words,33,7.98,3.3,87.9
2024,Grade 5,Cosine Similarity,28,5.34,0.75,96.4
2024,Grade 5,Matching Words,28,8.23,1.1,92.9
2024,Grade 6,Cosine Similarity,24,6.89,0.57,87.5
2024,Grade 6,Matching Words,24,8.91,2.38,87.5
2024,Grade 7,Cosine Similarity,17,2.42,1.51,100
2024,Grade 7,Matching Words,17,6.21,2.56,94.1
2024,Grade 9,Cosine Similarity,2,34.72,34.72,0
2024,Grade 9,Matching Words,2,20.88,20.88,50
2024,Grade 8,Cosine Similarity,6,9.06,2.08,83.3
2024,Grade 8,Matching Words,6,23.2,2.38,66.7
2025,Grade 1,Cosine Similarity,23,11.47,2.78,78.3
2025,Grade 1,Matching Words,23,15.33,7.89,78.3
2025,Grade 2,Cosine Similarity,12,13.19,5.56,75
2025,Grade 2,Matching Words,12,13.82,3.95,75
2025,Grade 3,Cosine Similarity,18,14.66,4.17,77.8
2025,Grade 3,Matching Words,18,21.78,11.84,72.2
2025,Grade 4,Cosine Similarity,15,24.81,11.11,53.3
2025,Grade 4,Matching Words,15,11.4,7.89,73.3
2025,Grade 5,Cosine Similarity,10,12.78,2.78,90
2025,Grade 5,Matching Words,10,11.32,7.89,70
2025,Grade 6,Cosine Similarity,14,7.54,4.17,85.7
2025,Grade 6,Matching Words,14,16.92,10.53,71.4
2025,Grade 7,Cosine Similarity,7,7.94,2.78,85.7
2025,Grade 7,Matching Words,7,20.3,5.26,71.4
2025,Grade 8,Cosine Similarity,1,38.89,38.89,0
2025,Grade 8,Matching Words,1,0,0,100
