year,grade_group,method,n,n_positive,selection_rate_pct
2023,Grades 1–4,Cosine Similarity,120,102,85
2023,Grades 1–4,Matching Words,120,95,79.17
2023,Grades 5+,Cosine Similarity,53,41,77.36
2023,Grades 5+,Matching Words,53,47,88.68
2024,Grades 1–4,Cosine Similarity,199,178,89.45
2024,Grades 1–4,Matching Words,199,176,88.44
2024,Grades 5+,Cosine Similarity,77,70,90.91
2024,Grades 5+,Matching Words,77,68,88.31
2025,Grades 1–4,Cosine Similarity,68,49,72.06
2025,Grades 1–4,Matching Words,68,51,75
2025,Grades 5+,Cosine Similarity,32,27,84.38
2025,Grades 5+,Matching Words,32,23,71.88
