year,u,Cosine_Similarity,MW_count,overall_survey_match_num,cos_vs_survey,mw_vs_survey
2023,0.9,1,1,0.9,0.9,0.9
2023,1,1,1,1,1,1
2023,1.1,1,1,1.1,1.1,1.1
2023,1.2000000000000002,1,1,1.2000000000000002,1.2000000000000002,1.2000000000000002
2023,1.3,1,1,1.3,1.3,1.3
2023,1.4,1,1,1.4,1.4,1.4
2023,1.5,1,1,1.5,1.5,1.5
2023,1.6,1,1,1.6,1.6,1.6
2023,1.7000000000000002,1,1,1.7000000000000002,1.7000000000000002,1.7000000000000002
2023,1.8,1,1,1.8,1.8,1.8
2023,1.9,1,1,1.9,1.9,1.9
2023,2,1,1,2,2,2
2024,0.9,1,1,0.9,0.9,0.9
2024,1,1,1,1,1,1
2024,1.1,1,1,1.1,1.1,1.1
2024,1.2000000000000002,1,1,1.2000000000000002,1.2000000000000002,1.2000000000000002
2024,1.3,1,1,1.3,1.3,1.3
2024,1.4,1,1,1.4,1.4,1.4
2024,1.5,1,1,1.5,1.5,1.5
2024,1.6,1,1,1.6,1.6,1.6
2024,1.7000000000000002,1,1,1.7000000000000002,1.7000000000000002,1.7000000000000002
2024,1.8,1,1,1.8,1.8,1.8
2024,1.9,1,1,1.9,1.9,1.9
2024,2,1,1,2,2,2
2025,0.9,1,1,0.9,0.9,0.9
2025,1,1,1,1,1,1
2025,1.1,1,1,1.1,1.1,1.1
2025,1.2000000000000002,1,1,1.2000000000000002,1.2000000000000002,1.2000000000000002
2025,1.3,1,1,1.3,1.3,1.3
2025,1.4,1,1,1.4,1.4,1.4
2025,1.5,1,1,1.5,1.5,1.5
2025,1.6,1,1,1.6,1.6,1.6
2025,1.7000000000000002,1,1,1.7000000000000002,1.7000000000000002,1.7000000000000002
2025,1.8,1,1,1.8,1.8,1.8
2025,1.9,1,1,1.9,1.9,1.9
2025,2,1,1,2,2,2
