mentee_name,gale_shapley_matched_mentor_name
PERSON_0227,PERSON_0545
PERSON_0460,PERSON_0538
PERSON_0565,PERSON_0237
PERSON_0454,PERSON_0520
PERSON_0646,PERSON_0589
PERSON_0730,PERSON_0430
PERSON_0744,PERSON_0593
PERSON_0599,PERSON_0478
PERSON_0353,PERSON_0691
PERSON_0650,PERSON_0458
PERSON_0537,PERSON_0555
PERSON_0630,PERSON_0039
PERSON_0058,PERSON_0542
PERSON_0528,PERSON_0753
PERSON_0739,PERSON_0561
PERSON_0741,PERSON_0052
PERSON_0308,PERSON_0577
PERSON_0502,PERSON_0356
PERSON_0588,PERSON_0493
PERSON_0692,PERSON_0461
PERSON_0617,PERSON_0353
PERSON_0455,PERSON_0619
PERSON_0718,PERSON_0525
PERSON_0763,PERSON_0425
PERSON_0725,PERSON_0472
PERSON_0548,PERSON_0550
PERSON_0791,PERSON_0651
PERSON_0712,PERSON_0413
PERSON_0535,PERSON_0482
PERSON_0790,PERSON_0507
PERSON_0734,PERSON_0345
PERSON_0445,PERSON_0685
PERSON_0736,PERSON_0209
PERSON_0600,PERSON_0601
PERSON_0664,PERSON_0835
PERSON_0590,PERSON_0419
PERSON_0752,PERSON_0591
PERSON_0608,PERSON_0463
PERSON_0506,PERSON_0826
PERSON_0575,PERSON_0582
PERSON_0519,PERSON_0740
PERSON_0735,PERSON_0500
PERSON_0708,PERSON_0468
PERSON_0670,PERSON_0268
PERSON_0636,PERSON_0486
PERSON_0003,PERSON_0048
PERSON_0416,PERSON_0618
PERSON_0716,PERSON_0414
PERSON_0785,PERSON_0415
PERSON_0654,PERSON_0536
PERSON_0806,PERSON_0528
PERSON_0505,PERSON_0796
PERSON_0451,PERSON_0622
PERSON_0612,PERSON_0533
PERSON_0689,PERSON_0501
PERSON_0676,PERSON_0477
PERSON_0659,PERSON_0823
PERSON_0390,PERSON_0127
PERSON_0602,PERSON_0518
PERSON_0549,PERSON_0603
PERSON_0554,PERSON_0464
PERSON_0467,PERSON_0746
PERSON_0798,PERSON_0490
PERSON_0412,PERSON_0503
PERSON_0669,PERSON_0293
PERSON_0687,PERSON_0488
PERSON_0433,PERSON_0099
PERSON_0693,PERSON_0432
PERSON_0413,PERSON_0604
PERSON_0006,PERSON_0146
PERSON_0742,PERSON_0459
PERSON_0527,PERSON_0681
PERSON_0762,PERSON_0421
PERSON_0805,PERSON_0451
PERSON_0661,PERSON_0610
PERSON_0702,PERSON_0059
PERSON_0616,PERSON_0524
PERSON_0068,PERSON_0171
PERSON_0831,PERSON_0473
PERSON_0516,PERSON_0090
PERSON_0615,PERSON_0576
PERSON_0436,PERSON_0496
PERSON_0776,PERSON_0497
PERSON_0807,PERSON_0201
PERSON_0440,PERSON_0808
PERSON_0632,PERSON_0579
PERSON_0593,PERSON_0560
PERSON_0704,PERSON_0800
PERSON_0511,PERSON_0476
PERSON_0513,PERSON_0017
PERSON_0827,PERSON_0011
PERSON_0710,PERSON_0648
PERSON_0802,PERSON_0300
PERSON_0498,PERSON_0543
PERSON_0637,PERSON_0112
PERSON_0765,PERSON_0803
PERSON_0770,PERSON_0417
PERSON_0292,PERSON_0652
PERSON_0325,PERSON_0438
PERSON_0824,PERSON_0452
PERSON_0666,PERSON_0605
PERSON_0427,PERSON_0057
PERSON_0611,PERSON_0431
PERSON_0686,PERSON_0606
PERSON_0196,PERSON_0168
PERSON_0767,PERSON_0480
PERSON_0662,PERSON_0532
PERSON_0639,PERSON_0546
PERSON_0747,PERSON_0517
PERSON_0732,PERSON_0571
PERSON_0714,PERSON_0562
PERSON_0640,PERSON_0492
PERSON_0510,PERSON_0184
